"","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Countries, territories and areas"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","15.53","14.83","14.21","12.62","11.82","10.11","9.53","8.81","7.90","8.56","8.57","9.82","10.26","9.90","10.62","9.95","9.81","8.94","9.44","",""
"Albania","","","6.66","6.55","6.67","6.48","6.44","6.27","6.09","6.12","6.24","5.73","5.51","5.71","5.69","5.83","6.06","6.20","5.66","5.93","5.94"
"Algeria","6.32","6.25","6.16","6.28","6.61","6.98","6.55","6.04","6.00","5.27","5.12","5.36","4.20","3.82","3.36","3.24","3.54","3.60","3.73","3.84","3.49"
"Andorra","9.05","7.41","7.43","7.16","7.01","7.02","6.83","6.83","6.75","7.70","7.88","6.08","5.67","4.92","4.96","5.59","5.29","5.55","6.00","5.86","5.95"
"Angola","2.91","2.66","2.59","2.79","2.71","2.61","2.43","2.73","2.40","2.65","2.70","3.84","3.32","2.97","2.69","2.85","3.97","3.55","3.33","4.48","1.91"
"Antigua and Barbuda","5.61","4.38","4.85","4.87","5.12","5.28","5.87","5.51","5.48","5.44","5.38","4.18","4.20","4.45","4.63","4.99","5.12","5.58","5.29","5.44","4.72"
"Argentina","9.98","9.47","9.50","10.44","9.00","10.23","9.67","9.78","9.83","9.42","9.45","9.46","8.18","7.83","7.64","7.61","7.23","6.89","7.39","8.37","8.22"
"Armenia","12.24","11.38","10.01","10.36","9.95","10.12","10.18","10.32","9.13","9.38","9.24","8.44","6.64","5.50","5.85","5.86","6.06","7.18","7.61","4.65","4.20"
"Australia","10.65","10.23","10.07","10.13","10.09","10.18","9.85","8.75","8.67","8.54","8.42","8.55","8.25","8.06","7.98","7.97","8.09","7.88","7.88","7.68","7.60"
