,pais,popData2019,tasaCasos_max,tasaCasos_sum,tasaMuertes_sum,tasaMuertes_max,incidencia14dias_max,incidencia14dias_media,continente,che_2020,che_medio,codigo_pais,pais_cod,continente_cod,region,gasto_medio,gasto_2020,region_cod
0,Afghanistan,38041757.0,2.794297855380339e-05,0.0012952346023344821,5.1811487045669314e-05,1.472066603022568e-06,25.98986161,5.3526084499082565,Asia,15.53,10.591052631578947,AFG,0,2,EMR,47.82052631578947,80.29,2
1,Albania,2862427.0,0.00030708206707105544,0.016954144158086826,0.00035040194911520887,6.6377238616041565e-06,382.61237754,78.9809622414179,Europe,,6.093684210526316,ALB,1,3,,,,6
2,Algeria,43053054.0,2.6316367707619534e-05,0.0021392675186294565,6.0297696883477766e-05,9.755405505031072e-07,33.91164771,8.636940988343373,Africa,6.32,5.036190476190477,DZA,2,0,AFR,201.91857142857143,214.85,0
3,Andorra,76177.0,0.003925069246622996,0.09632828806595166,0.001037058429709755,7.876393137036113e-05,1900.8362104,488.11176252528514,Europe,9.05,6.520952380952381,AND,3,3,EUR,2655.327142857143,3336.92,3
4,Angola,31825299.0,1.1154647753662896e-05,0.0005086519375670281,1.1657392441151928e-05,4.084800585848384e-07,11.08552036,2.6997020050588234,Africa,2.91,2.956666666666666,AGO,4,0,AFR,83.84428571428572,50.74,0
5,Anguilla,14872.0,0.00013448090371167293,0.0006724045185583647,0.0,0.0,40.34427111,2.2592791826000003,America,,,AIA,5,1,,,,6
6,Antigua_and_Barbuda,97115.0,0.00040158574885445093,0.001523966431550224,4.118828193378984e-05,2.059414096689492e-05,45.30711013,7.929144937743191,America,5.61,5.066190476190476,ATG,6,1,AMR,703.5747619047619,830.34,1
7,Argentina,44780675.0,0.00040923903000568884,0.033455502848047734,0.0009103480463391854,7.483138653001546e-05,445.66992347,169.53161157133334,America,9.98,8.837619047619047,ARG,7,1,AMR,880.6542857142856,863.71,1
8,Armenia,2957728.0,0.0015305667052548442,0.050268990251977196,0.000846257668047907,1.386199136634606e-05,1049.21750749,206.10620637225608,Europe,12.24,8.300000000000002,ARM,8,3,EUR,266.27857142857147,551.54,3
9,Aruba,106310.0,0.001655535697488477,0.04749318032170069,0.0004326968300253974,2.8219358479917224e-05,1058.225943,255.77774699881888,America,,,ABW,9,1,,,,6
10,Australia,25203200.0,2.860747841543931e-05,0.0011122000380904013,3.602717115286948e-05,2.3409725749111224e-06,26.77437786,4.6102195304154305,Oceania,10.65,8.834285714285713,AUS,10,4,WPR,4331.349523809524,5901.11,5
11,Austria,8858775.0,0.001170364977098978,0.036126439603669805,0.0004966826677503379,2.4043956416095904e-05,1084.41629909,141.27272270626113,Europe,11.47,10.012857142857143,AUT,11,3,EUR,4371.61619047619,5585.09,3
12,Azerbaijan,10047719.0,0.00044298611455993145,0.017503873267156456,0.00019128719662641838,4.677678585557578e-06,574.05068752,62.633090850636364,Europe,4.61,3.007619047619048,AZE,12,3,EUR,123.85428571428572,191.23,3
13,Bahamas,389486.0,0.0006213317038353111,0.019702890476166024,0.00041850027985601535,2.8242350174332326e-05,365.09656316,105.21935880027027,America,7.59,5.069047619047619,BHS,13,1,AMR,1431.4295238095237,1851.0,1
14,Bahrain,1641164.0,0.0007951673324542825,0.05431693602833111,0.00021204462198780863,4.265265384812243e-06,596.16223607,223.5124190600595,Asia,4.72,3.9547619047619054,BHR,14,2,EMR,831.3661904761905,1110.0,2
15,Bangladesh,163046173.0,2.464945926697709e-05,0.003008552675443661,4.325155181655199e-05,4.1092654164903337e-07,31.39110784,15.683715847366413,Asia,2.63,2.5795238095238098,BGD,15,2,SEAR,24.045714285714286,50.66,4
16,Barbados,287021.0,4.1808787510321545e-05,0.0010173471627511576,2.43884593810209e-05,3.484065625860129e-06,15.67829532,5.118482512393823,America,7.2,6.653809523809526,BRB,16,1,AMR,1051.9980952380952,1199.71,1
17,Belarus,9452409.0,0.00020894144550875866,0.01695811089003872,0.00013361673198863908,1.1637245066310609e-06,267.51910545,66.67829510091185,Europe,6.41,5.644761904761904,BLR,17,3,EUR,273.38952380952384,408.09,3
18,Belgium,11455519.0,0.001938803471060543,0.05307494143216034,0.0015670176095906262,2.810872209281832e-05,1817.25507155,215.29741430124628,Europe,11.06,9.872857142857143,BEL,18,3,EUR,4060.5819047619048,5009.46,3
19,Belize,390351.0,0.003540403380547251,0.023811902620974455,0.0004995504046358277,4.098875114960638e-05,909.95027552,109.60238147071146,America,6.92,5.3809523809523805,BLZ,19,1,AMR,234.68571428571425,277.99,1
20,Benin,11801151.0,1.1778512112928645e-05,0.00026183886639532026,3.728449877473816e-06,2.54212491645942e-07,6.0333098,1.3967672761923078,Africa,2.59,2.8576190476190475,BEN,20,0,AFR,27.23190476190476,32.13,0
21,Bermuda,62508.0,0.000639918090484418,0.006895117424969604,0.00014398157035899403,3.19959045242209e-05,287.96314072,26.785676491322956,America,,,BMU,21,1,,,,6
22,Bhutan,763094.0,3.800318178363347e-05,0.0005739790903872918,0.0,0.0,10.87677272,2.9696992712547527,Asia,4.37,3.9080952380952385,BTN,22,2,SEAR,72.47095238095237,133.7,4
23,Bolivia,11513102.0,0.00023338627591417153,0.01278109062179767,0.0007832815170055819,0.00013984067890651886,195.95935135,67.14020647568182,America,7.86,5.557619047619048,BOL,23,1,AMR,122.69142857142857,241.12,1
24,"Bonaire, Saint Eustatius and Saba",25983.0,0.0008082207597275141,0.006658199592040949,0.000115460108532502,3.848670284416734e-05,338.68298503,36.43618179045082,America,,,BES,24,1,,,,6
25,Bosnia_and_Herzegovina,3300998.0,0.000588609868894195,0.03063225121614736,0.0010106034599233324,3.514088769517582e-05,661.92103115,152.28314698647728,Europe,9.84,8.991428571428573,BIH,25,3,EUR,369.6985714285714,591.41,3
26,Botswana,2303703.0,0.0006602413592377142,0.005426480757285119,1.6061098153711654e-05,1.3022512016522964e-06,108.91160883,28.024091505265307,Africa,6.19,6.019523809523809,BWA,26,0,AFR,331.0828571428571,362.73,0
27,Brazil,211049519.0,0.0003272881185765697,0.03270299801062328,0.0008595233993402278,7.557468065113193e-06,304.320523,130.46082639347182,America,10.31,8.550952380952381,BRA,27,1,AMR,669.4976190476191,700.71,1
28,British_Virgin_Islands,30033.0,0.0005327473112909134,0.0025305497286318385,3.3296706955682086e-05,3.3296706955682086e-05,139.84616921,13.292045417719999,America,,,VGB,28,1,,,,6
29,Brunei_Darussalam,433296.0,3.2310475979469e-05,0.0003507994534913777,6.923673424171929e-06,2.307891141390643e-06,23.77127876,1.2606638444360903,Asia,2.39,2.2476190476190476,BRN,29,2,WPR,683.8247619047619,650.48,5
30,Bulgaria,7000039.0,0.0006897104430418174,0.02563542860261207,0.0008125669014129778,3.1571252674449384e-05,666.56771484,122.84260077011236,Europe,8.52,7.055714285714288,BGR,30,3,EUR,444.4780952380953,856.7,3
31,Burkina_Faso,20321383.0,1.55009134958974e-05,0.00019831327424910008,3.493856692726081e-06,2.952554951599505e-07,5.77716586,0.8617583363636364,Africa,6.72,4.706190476190477,BFA,31,0,AFR,28.923809523809524,54.18,0
32,Burundi,11530577.0,3.4690371522604637e-06,6.322320209994695e-05,8.672592880651159e-08,8.672592880651159e-08,1.18814522,0.348036462244898,Africa,6.5,8.019047619047619,BDI,32,0,AFR,16.57761904761905,16.42,0
33,Cambodia,16486542.0,2.1229436712683593e-06,2.1775336513866886e-05,0.0,0.0,0.58835867,0.08963334420731707,Asia,7.51,6.71,KHM,33,2,WPR,57.80047619047619,115.76,5
34,Cameroon,25876387.0,4.324405876291771e-05,0.000971658060300304,1.7119855256454467e-05,2.2800710160966442e-06,15.3035275,5.077871562954545,Africa,,,CMR,34,0,AFR,48.243809523809524,58.01,0
35,Canada,37411038.0,0.00021041918163297154,0.01231569677377035,0.00035901169061387713,5.9340775308078866e-06,241.81365938,46.545617935281896,America,12.94,10.077619047619047,CAN,35,1,AMR,4221.788571428571,5619.42,1
36,Cape_Verde,549936.0,0.0005273340897849932,0.020651493992028164,0.00020002327543568705,5.455180239155102e-06,256.2116319,109.87358074402344,Africa,6.02,4.713809523809523,CPV,36,0,AFR,131.0961904761905,176.02,0
37,Cases_on_an_international_conveyance_Japan,,,0.0,0.0,,,,Other,,,,37,5,,,,6
38,Cayman_Islands,64948.0,0.0002617478598263226,0.004588286013426125,3.0793865861920304e-05,1.5396932930960152e-05,86.22282441,23.892205653501946,America,,,CYM,38,1,,,,6
